DirectoryNames,Contexts,ContextSizes,QueryNames,QueryTimes
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),10907993
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),1656001
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),1171819
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),1409382
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),1620683
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),1458283
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),1362291
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),1351425
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),1587177
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),1911374
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),1673810
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),1352934
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),1435342
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),1220720
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),820756
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),788457
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),765214
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),1023002
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),1383422
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),1331502
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),1613439
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),1034774
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),1292562
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),1336029
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),1615853
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),1891149
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),1443794
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),1247887
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),1556992
leisample1,http://onto.kul.pl/change/contextslice/,86,Find lei's legal name before 2016-09-23T10:20:13+05:30 (lei=549300U5FI25Y6MFOS85),1451039
leisample1,http://onto.kul.pl/change/contextslice/,86,Find all LEs whose legal name has (ever) changed,2453212
leisample1,http://onto.kul.pl/change/contextslice/,86,Find all LEs whose legal name has (ever) changed,1466433
leisample1,http://onto.kul.pl/change/contextslice/,86,Find all LEs whose legal name has (ever) changed,1446209
leisample1,http://onto.kul.pl/change/contextslice/,86,Find all LEs whose legal name has (ever) changed,1565443
leisample1,http://onto.kul.pl/change/contextslice/,86,Find all LEs whose legal name has (ever) changed,1724825
leisample1,http://onto.kul.pl/change/contextslice/,86,Find all LEs whose legal name has (ever) changed,1298600
leisample1,http://onto.kul.pl/change/contextslice/,86,Find all LEs whose legal name has (ever) changed,1263282
leisample1,http://onto.kul.pl/change/contextslice/,86,Find all LEs whose legal name has (ever) changed,1827155
